,"SECRETARIADO EJECUTIVO DEL SISTEMA NACIONAL DE SEGURIDAD PÚBLICA",,,,,,,,,,,,,,
,"CENTRO NACIONAL DE INFORMACIÓN",,,,,,,,,,,,,,
,"INSTRUMENTO PARA EL REGISTRO, CLASIFICACIÓN Y REPORTE DE DELITOS Y LAS VÍCTIMAS CNSP/38/15",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"Víctimas de delitos del fuero común1/",,,,,,,,,,,,,,
,"Nacional, 2022",,,,,,,,,,,,,,
,,,"Mes",,,,,,,,,,,,
,"Clave","Tipo de delito, subtipo y modalidad","Enero ","Febrero","Marzo","Abril","Mayo","Junio","Julio ","Agosto","Septiembre","Octubre","Noviembre","Diciembre","Total"
,"Total de víctimas mensual ",,26825,25610,31683,31802,35262,32626,29934,31324,30968,31806,,,307840
,1,"Víctimas de delitos contra la vida y la integridad corporal",23023,21885,27254,27285,30372,27408,25552,26418,26551,27307,,,263055
,1.1,"Homicidio",3975,3614,4317,4265,4549,4297,4257,4170,4170,4374,,,41988
,"1.1.1","   Homicidio doloso",2436,2262,2654,2558,2827,2670,2683,2618,2645,2766,,,26119
,"1.1.1.1","      Con arma de fuego",1744,1602,1859,1747,1941,1849,1860,1811,1851,1949,,,18213
,"1.1.1.2","      Con arma blanca",173,162,184,193,252,221,206,192,202,207,,,1992
,"1.1.1.3","      Con otro elemento",439,387,495,480,541,477,499,525,496,511,,,4850
,"1.1.1.4","      No especificado",80,111,116,138,93,123,118,90,96,99,,,1064
,"1.1.2","   Homicidio culposo",1539,1352,1663,1707,1722,1627,1574,1552,1525,1608,,,15869
,"1.1.2.1","      Con arma de fuego",6,7,4,3,4,3,2,1,3,3,,,36
,"1.1.2.2","      Con arma blanca",0,0,0,1,0,1,1,0,1,0,,,4
,"1.1.2.3","      En accidente de tránsito",1294,1114,1377,1407,1426,1352,1350,1316,1294,1372,,,13302
,"1.1.2.4","      Con otro elemento",158,157,198,199,204,190,140,164,167,168,,,1745
,"1.1.2.5","      No especificado",81,74,84,97,88,81,81,71,60,65,,,782
,1.2,"Lesiones",17796,17123,21406,21518,24236,21641,19837,20709,20932,21378,,,206576
,"1.2.1","   Lesiones dolosas",13293,12392,15695,16068,18197,16126,14538,15295,15385,15476,,,152465
,"1.2.1.1","      Con arma de fuego",831,728,862,866,891,866,765,823,849,858,,,8339
,"1.2.1.2","      Con arma blanca",972,746,1027,1015,1235,1019,932,971,1013,865,,,9795
,"1.2.1.3","      Con otro elemento",10279,9716,12250,12544,14179,12648,11303,11841,12018,12106,,,118884
,"1.2.1.4","      No especificado",1211,1202,1556,1643,1892,1593,1538,1660,1505,1647,,,15447
,"1.2.2","   Lesiones culposas",4503,4731,5711,5450,6039,5515,5299,5414,5547,5902,,,54111
,"1.2.2.1","      Con arma de fuego",11,15,13,24,17,13,8,14,6,17,,,138
,"1.2.2.2","      Con arma blanca",2,2,13,1,1,3,10,3,5,4,,,44
,"1.2.2.3","      En accidente de tránsito",3165,3331,3935,3732,4214,3871,3683,3718,3857,4108,,,37614
,"1.2.2.4","      Con otro elemento",794,837,1004,986,1090,919,946,994,951,1042,,,9563
,"1.2.2.5","      No especificado",531,546,746,707,717,709,652,685,728,731,,,6752
,1.3,"Feminicidio",81,83,76,86,87,90,59,71,79,80,,,792
,"1.3.1","   Con arma de fuego",18,13,28,23,28,21,11,11,18,16,,,187
,"1.3.2","   Con arma blanca",21,23,12,25,20,20,17,17,15,26,,,196
