,"SECRETARIADO EJECUTIVO DEL SISTEMA NACIONAL DE SEGURIDAD PÚBLICA",,,,,,,,,,,,,,
,"CENTRO NACIONAL DE INFORMACIÓN",,,,,,,,,,,,,,
,"INSTRUMENTO PARA EL REGISTRO, CLASIFICACIÓN Y REPORTE DE DELITOS Y LAS VÍCTIMAS CNSP/38/15",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"Víctimas de delitos del fuero común1/",,,,,,,,,,,,,,
,"Nacional, 2021",,,,,,,,,,,,,,
,,,"Mes",,,,,,,,,,,,
,"Clave","Tipo de delito, subtipo y modalidad","Enero ","Febrero","Marzo","Abril","Mayo","Junio","Julio ","Agosto","Septiembre","Octubre","Noviembre","Diciembre","Total"
,"Total de víctimas mensual ",,24564,24911,31089,30348,31537,28836,28218,27998,27862,29457,27924,29508,342252
,1,"Víctimas de delitos contra la vida y la integridad corporal",21187,21463,26803,26468,27642,24891,24119,23907,23654,25226,23965,25572,294897
,1.1,"Homicidio",4337,3994,4455,4420,4647,4019,4303,4180,4205,4258,4077,4401,51296
,"1.1.1","   Homicidio doloso",2835,2635,2946,2873,2996,2663,2860,2822,2774,2704,2596,2614,33318
,"1.1.1.1","      Con arma de fuego",2041,1836,2057,1941,2010,1786,1933,2035,1948,1974,1729,1849,23139
,"1.1.1.2","      Con arma blanca",212,227,223,228,234,210,232,230,221,212,231,229,2689
,"1.1.1.3","      Con otro elemento",468,479,459,500,554,491,454,422,482,435,502,419,5665
,"1.1.1.4","      No especificado",114,93,207,204,198,176,241,135,123,83,134,117,1825
,"1.1.2","   Homicidio culposo",1502,1359,1509,1547,1651,1356,1443,1358,1431,1554,1481,1787,17978
,"1.1.2.1","      Con arma de fuego",8,7,6,4,5,3,5,5,6,3,3,3,58
,"1.1.2.2","      Con arma blanca",1,0,2,1,1,2,1,0,0,1,1,1,11
,"1.1.2.3","      En accidente de tránsito",1273,1159,1271,1280,1378,1098,1173,1141,1180,1317,1245,1521,15036
,"1.1.2.4","      Con otro elemento",150,125,159,167,170,181,176,155,167,161,171,166,1948
,"1.1.2.5","      No especificado",70,68,71,95,97,72,88,57,78,72,61,96,925
,1.2,"Lesiones",15579,16248,20833,20543,21427,19430,18395,18291,18062,19517,18547,19884,226756
,"1.2.1","   Lesiones dolosas",11727,12467,16107,15682,16384,14696,13862,13713,13496,14350,13545,14426,170455
,"1.2.1.1","      Con arma de fuego",792,799,939,820,947,919,780,832,712,880,849,827,10096
,"1.2.1.2","      Con arma blanca",776,768,1045,975,1040,896,958,926,1002,1028,871,985,11270
,"1.2.1.3","      Con otro elemento",8896,9516,12408,12233,12661,11230,10625,10399,10321,11046,10515,11254,131104
,"1.2.1.4","      No especificado",1263,1384,1715,1654,1736,1651,1499,1556,1461,1396,1310,1360,17985
,"1.2.2","   Lesiones culposas",3852,3781,4726,4861,5043,4734,4533,4578,4566,5167,5002,5458,56301
,"1.2.2.1","      Con arma de fuego",16,14,20,11,11,16,9,13,6,19,9,12,156
,"1.2.2.2","      Con arma blanca",7,2,7,11,6,4,3,11,7,0,5,3,66
,"1.2.2.3","      En accidente de tránsito",2859,2756,3460,3436,3429,3344,3193,3160,3119,3547,3569,3853,39725
,"1.2.2.4","      Con otro elemento",547,593,732,747,1011,796,748,729,767,885,815,928,9298
,"1.2.2.5","      No especificado",423,416,507,656,586,574,580,665,667,716,604,662,7056
,1.3,"Feminicidio",76,78,103,82,111,86,72,112,70,71,74,81,1016
